Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Metascore,IMDBRating,imdbVotes,imdbID,movieId,title,genres,movie_title,year
The Wonderful World of Mickey Mouse,2020,TV-G,18 Nov 2020,8,Animation|Short|Adventure,,,"Chris Diamantopoulos, Kaitlyn Robrock, Bill Farmer",English,United States,2 nominations,-1.0,7.9,872,tt13089270,,,,,
The Lego Star Wars Holiday Special,2020,TV-G,17 Nov 2020,44,Animation|Action|Adventure|Comedy|Family|Sci-Fi,Ken Cunningham,"George Lucas (based on STAR WARS created by), David Shayne","A.J. LoCascio, Anthony Daniels, Ben Prendergast, Billy Dee Williams",English,USA,3 nominations.,-1.0,6.4,"5,761",tt12885438,,,,,
Home Alone,1990,PG,16 Nov 1990,103,Comedy|Family,Chris Columbus,John Hughes,"Macaulay Culkin, Joe Pesci, Daniel Stern",English,United States,Nominated for 2 Oscars. 11 wins & 6 nominations total,63.0,7.7,"549,277",tt0099785,586.0,Home Alone (1990),Children|Comedy,Home Alone,1990.0
Home Alone 2: Lost in New York,1992,PG,20 Nov 1992,120,Adventure|Comedy|Crime,Chris Columbus,John Hughes,"Macaulay Culkin, Joe Pesci, Daniel Stern","English, French, Spanish, Latin",United States,3 wins & 3 nominations,46.0,6.8,"343,152",tt0104431,2953.0,Home Alone 2: Lost in New York (1992),Children|Comedy,Home Alone 2: Lost in New York,1992.0
Home Alone 3,1997,PG,12 Dec 1997,102,Action|Comedy|Crime,Raja Gosnell,John Hughes,"Alex D. Linz, Olek Krupa, Rya Kihlstedt","English, Polish",United States,3 nominations,-1.0,4.5,"114,869",tt0119303,1707.0,Home Alone 3 (1997),Children|Comedy,Home Alone 3,1997.0
Inside Pixar,2020,TV-G,13 Nov 2020,10,Documentary|Short|Family,,,"W. Kamau Bell, Cristela Alonzo, Barney Jones",English,United States,Nominated for 1 Primetime Emmy. 2 nominations total,-1.0,7.3,576,tt13302848,,,,,
Petra: Secrets of the Ancient Builders,2019,TV-G,01 Jun 2019,44,Documentary|Short,"Thierry Fessard, Yohann Thiriet","Marianne Cramer, Lea Sansonetti","Hani M.K. Al-Nawafleh, Jean-Claude Bessac, Hani Falahat","English, French, Arabic",United Arab Emirates,,-1.0,7.4,82,tt13555254,,,,,
Prep & Landing,2009,TV-G,08 Dec 2009,22,Animation|Short|Adventure|Comedy|Family|Fantasy,"Kevin Deters, Stevie Wermers","Stevie Wermers, Kevin Deters, Chris Williams (based on a story by), Robert L. Baird (additional story material by), Daniel Gerson (additional story material by), Reid Harrison (additional story material by), Michael LaBash (story), Joe Mateo (story), Nicole Mitchell (story), Aurian Redson (story), Jeremy Spears (story)","Dave Foley, Sarah Chalke, Mason Vale Cotton, David DeLuise",English,USA,Won 4 Primetime Emmys. Another 4 wins & 8 nominations.,-1.0,7.7,"2,869",tt1474311,136483.0,Prep & Landing (2009),Animation|Children|Fantasy,Prep & Landing,2009.0
Prep & Landing: Naughty vs. Nice,2011,TV-G,05 Dec 2011,22,Animation|Short|Adventure,"Kevin Deters, Stevie Wermers","Kevin Deters, Stevie Wermers, Paul Briggs","Dave Foley, Derek Richardson, Sarah Chalke",English,United States,Won 1 Primetime Emmy. 5 wins & 11 nominations total,-1.0,7.4,"1,595",tt2069885,,,,,
Disney Channel Halloween House Party,2020,G,15 Oct 2020,22,Comedy|Family|Musical,Trevor Moore,"Brandon Cohen, Alice Hamilton, Monique Madrid","Raphael Alejandro, Suzi Barrett, Issac Ryan Brown",English,United States,,-1.0,5.3,9,tt13845674,,,,,
The Mandalorian,2019,TV-14,12 Nov 2019,40,Action|Adventure|Fantasy,,Jon Favreau,"Pedro Pascal, Carl Weathers, Barry Lowin",English,United States,Won 14 Primetime Emmys. 58 wins & 118 nominations total,-1.0,8.8,"414,190",tt8111088,,,,,
X-Ray Earth,2020,G,06 May 2020,-1,Documentary,,,"Corey Johnson, Brittany Brand, Reginald Desroches",English,United States,,-1.0,6.4,37,tt12988062,,,,,
Gathering Storm,2020,G,22 Jun 2020,-1,Documentary,,,"Tucker McDougall, Alejandro J. Amezcua, Caitlin Fine",English,United States,,-1.0,7.9,38,tt12760500,,,,,
Marvel Super Hero Adventures,2017,TV-Y,13 Oct 2017,4,Animation|Action|Adventure,,,"Cole Howard, James Blight, Sam Vincent",English,United States,3 nominations,-1.0,5.8,131,tt7726152,,,,,
Once Upon a Snowman,2020,TV-G,23 Oct 2020,8,Animation|Short|Adventure,"Dan Abraham, Trent Correy",Trent Correy,"Kristen Bell, Jonathan Groff, Josh Gad","Norwegian, English",United States,Nominated for 1 Primetime Emmy. 1 nomination total,-1.0,6.9,"2,777",tt13061790,,,,,
Pompeii: Secrets of the Dead,2019,G,26 Mar 2021,42,Documentary|History,Ben Finney,,"Kayla Iacovino, Maite Jáuregui",English,United States,,-1.0,6.8,137,tt12045720,,,,,
Toy Story of Terror,2013,TV-G,16 Oct 2013,22,Animation|Short|Adventure|Comedy|Family|Fantasy|Horror,Angus MacLane,Angus MacLane,"Tom Hanks, Tim Allen, Joan Cusack, Carl Weathers",English,USA,6 wins & 10 nominations.,-1.0,7.5,"14,164",tt2446040,106022.0,Toy Story of Terror (2013),Animation|Children|Comedy,Toy Story of Terror,2013.0
Clouds,2020,PG-13,16 Oct 2020,121,Biography|Drama|Music,Justin Baldoni,"Kara Holden, Casey La Scala, Patrick Kopka","Fin Argus, Neve Campbell, Sabrina Carpenter",English,United States,1 win & 2 nominations,55.0,7.5,"9,273",tt6473066,,,,,
Lost on Everest,2020,G,14 Jul 2020,-1,Documentary,"Renan Ozturk, Drew Pulley",,"Renan Ozturk, Thom Pollard, Mark Synnott",English,United States,1 win,-1.0,6.7,253,tt12660966,,,,,
Meet the Chimps,2020,TV-14,16 Oct 2020,40,Documentary,,,"Jane Lynch, Raven Jackson-Jewett, Amy Fultz",English,United States,,-1.0,8.4,86,tt11853160,,,,,
The Rocketeer,2019,TV-Y,08 Nov 2019,-1,Animation|Short|Action,,Nicole Dubuc,"Kitana Turnbull, Callan Farris, Frank Welker",,United States,5 nominations,-1.0,5.0,166,tt8068852,,,,,
The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,PG,10 Dec 2010,113,Adventure|Family|Fantasy,Michael Apted,"Christopher Markus, Stephen McFeely, Michael Petroni","Ben Barnes, Skandar Keynes, Georgie Henley",English,"United States, United Kingdom",2 wins & 18 nominations,53.0,6.3,"151,242",tt0980970,,,,,
The Right Stuff,2020,TV-14,09 Oct 2020,45,Drama|History,,Mark Lafferty,"Patrick J. Adams, Jake McDorman, Colin O'Donoghue",English,United States,2 nominations,-1.0,6.8,"3,606",tt7423322,,,,,
X2: X-Men United,2003,PG-13,02 May 2003,134,Action|Sci-Fi|Thriller,Bryan Singer,"Zak Penn, David Hayter, Bryan Singer","Patrick Stewart, Hugh Jackman, Halle Berry","English, German, Italian, Spanish","United States, Canada",6 wins & 41 nominations,68.0,7.4,"538,118",tt0290334,6333.0,X2: X-Men United (2003),Action|Adventure|Sci-Fi|Thriller,X2: X-Men United,2003.0
Hidden Figures,2016,PG,06 Jan 2017,127,Biography|Drama|History,Theodore Melfi,"Allison Schroeder, Theodore Melfi, Margot Lee Shetterly","Taraji P. Henson, Octavia Spencer, Janelle Monáe",English,United States,Nominated for 3 Oscars. 37 wins & 94 nominations total,74.0,7.8,"220,796",tt4846340,166643.0,Hidden Figures (2016),Drama,Hidden Figures,2016.0
Magic of Disney's Animal Kingdom,2020,TV-PG,25 Sep 2020,40,Documentary,,,Josh Gad,English,United Kingdom,,-1.0,8.2,300,tt10196378,,,,,
Secret Society of Second Born Royals,2020,TV-PG,25 Sep 2020,99,Action|Adventure|Comedy,Anna Mastro,"Alex Litvak, Andrew Green, Austin Winsberg","Peyton Elizabeth Lee, Niles Fitch, Isabella Blake-Thomas",English,United States,4 nominations,34.0,5.0,"5,100",tt10324122,,,,,
The Giant Robber Crab,2019,G,28 Jun 2019,44,Documentary|Short,"Moritz Katz, Braydon Moloney, Pim Niesten","Moritz Katz, Braydon Moloney, Pim Niesten","Tanja Detto, Allen Farmer, Michael Lott",English,United States,,-1.0,7.0,38,tt13165620,,,,,
Ancient China From Above,2020,G,11 Aug 2020,60,Documentary|History,,,"Allan Maca, Sarah Klassen, Ryan Kastner",English,United States,,-1.0,7.2,68,tt12873166,,,,,
Becoming,2020,PG,06 May 2020,89,Documentary|Biography,Nadia Hallgren,,"Elizabeth Alexander, Adrian K. Collins, Valerie Jarrett",English,United States,Nominated for 4 Primetime Emmys. 1 win & 6 nominations total,66.0,6.8,"6,279",tt12221748,,,,,
Europe From Above,2019,G,10 Nov 2019,-1,Documentary,,,"Julian Barratt, Dan Nachtrab, Daniel Verbaan",English,United Kingdom,,-1.0,8.0,261,tt11003514,,,,,
Ever After: A Cinderella Story,1998,PG-13,31 Jul 1998,121,Comedy|Drama|Romance,Andy Tennant,"Susannah Grant, Andy Tennant, Rick Parks","Drew Barrymore, Anjelica Huston, Dougray Scott",English,United States,6 wins & 15 nominations,66.0,7.0,"74,283",tt0120631,2125.0,Ever After: A Cinderella Story (1998),Comedy|Drama|Romance,Ever After: A Cinderella Story,1998.0
Kingdom of the Mummies,2020,G,12 May 2020,-1,Documentary,,,"Salima Ikram, Sahar Saleem, Kerry Shale",English,United States,,-1.0,7.4,97,tt12366196,,,,,
Notre-Dame: Race Against the Inferno,2019,G,15 Apr 2019,44,Documentary|Short|Drama,"Fabrice Gardel, Simon Kessler, Josselin Mahot","Fabrice Gardel, Simon Kessler, Josselin Mahot","Roland Agami, Paul Bandey, Anelise Borges",English,"United Kingdom, France",,-1.0,6.5,113,tt11559162,,,,,
Once Upon a Time,2011,TV-PG,23 Oct 2011,60,Adventure|Fantasy|Romance,,"Adam Horowitz, Edward Kitsis","Ginnifer Goodwin, Jennifer Morrison, Lana Parrilla",English,United States,Nominated for 7 Primetime Emmys. 13 wins & 95 nominations total,-1.0,7.7,"219,170",tt1843230,197589.0,,(no genres listed),,
Violetta,2011,G,16 Oct 2011,180,Drama,Antonio Frazzi,"Alexandre Dumas fils (novel), Sandro Petraglia (teleplay)","Vittoria Puccini, Rodrigo Guirao Díaz, Andrea Giordana, Tobias Moretti",Italian,Italy,1 nomination.,-1.0,7.4,33,tt1781844,,,,,
Earth to Ned,2020,TV-PG,04 Sep 2020,30,Comedy|Sci-Fi|Talk-Show,,,"Paul Rugg, Michael Oosterom, Colleen Smith",English,United States,1 nomination,-1.0,6.7,372,tt11176048,,,,,
Trick or Treat,1952,G,10 Oct 1952,8,Animation|Short|Comedy,Jack Hannah,"Ralph Wright, Ted Osborne, Al Taliaferro","June Foray, Clarence Nash, Thurl Ravenscroft",English,United States,,-1.0,7.2,"1,559",tt0045261,125982.0,Trick or Treat (1952),Animation,Trick or Treat,1952.0
Phineas and Ferb the Movie: Candace Against the Universe,2020,TV-G,28 Aug 2020,86,Animation|Adventure|Comedy,Bob Bowen,"Dan Povenmire, Jeff 'Swampy' Marsh, Jon Colton Barry","Vincent Martella, Dee Bradley Baker, Ashley Tisdale",English,United States,1 win & 3 nominations,77.0,7.1,"4,183",tt1817232,,,,,
Back to the Titanic,2020,G,23 Feb 2020,60,Documentary,Tom Stubberfield,,"Nigel Barber, Elliot Graves, Lori Johnston, Sindbad Rumney-Guggenheim",English,UK,,-1.0,6.1,207,tt12100782,,,,,
Mars: One Day on the Red Planet,2020,TV-G,11 Apr 2020,88,Documentary,Martin Johnson,,"Carl Agee, Nigel Barber, John Callas",English,United States,2 nominations,-1.0,6.9,329,tt12611334,,,,,
The One and Only Ivan,2020,PG,21 Aug 2020,95,Adventure|Comedy|Drama,Thea Sharrock,"Mike White, Katherine Applegate","Sam Rockwell, Bryan Cranston, Phillipa Soo",English,United States,Nominated for 1 Oscar. 2 wins & 4 nominations total,58.0,6.5,"11,934",tt3661394,,,,,
India's Wild Leopards,2020,G,26 Feb 2020,44,Documentary|Short,Eklavya Sakpal,,"Sandesh Kadur, Mike New, Priya Singh",English,India,,-1.0,7.8,26,tt11902274,,,,,
Magic Camp,2020,PG,14 Aug 2020,100,Comedy|Family|Fantasy,Mark Waters,"Micah Fitzerman-Blue, Noah Harpster, Matt Spicer","Adam Devine, Jeffrey Tambor, Gillian Jacobs",English,United States,,-1.0,6.3,"4,218",tt3979300,116953.0,,Children|Documentary,,
Nature Boom Time!,2016,G,01 Mar 2016,-1,Family,,Charlie Engelman,"Charlie Engelman, Kirby Engelman, Patrick Rahill",English,United States,,-1.0,7.0,5,tt6805750,,,,,
Sam's Zookeeper Challenge,2018,G,08 Aug 2018,-1,Adventure,,,"Sam Peltz, Julie Grove, Sarah Talbot",English,United States,,-1.0,-1.0,-1,tt13325238,,,,,
Scuba Sam's World,2018,G,16 Jul 2018,-1,Adventure,,,Sam Peltz,English,United States,,-1.0,-1.0,-1,tt13399116,,,,,
Spaced Out,2018,G,30 Apr 2018,12,Short|Comedy,Christina Diamantara,Andrew Urban,"David Gironda Jr., Sapna Kumar",English,United States,,-1.0,-1.0,-1,tt13773822,,,,,
The Greatest Showman,2017,PG,20 Dec 2017,105,Biography|Drama|Musical,Michael Gracey,"Jenny Bicks, Bill Condon","Hugh Jackman, Michelle Williams, Zac Efron",English,United States,Nominated for 1 Oscar. 17 wins & 33 nominations total,48.0,7.6,"268,537",tt1485796,180985.0,The Greatest Showman (2017),Drama,The Greatest Showman,2017.0
Wild Cats of India,2020,G,18 Feb 2020,-1,Documentary,,,"Sandesh Kadur, James Murray",English,United States,,-1.0,7.5,44,tt11920706,,,,,
Howard Original,2020,G,21 May 2021,94,Comedy|Drama,Natalie Rodriguez,"Kevin Sean Michaels, Natalie Rodriguez","Alessandra Mañon, Ivon Millan, EMESGE",English,United States,,-1.0,4.8,61,tt11137028,,,,,
Star Wars Galaxy's Edge: Adventure Awaits,2019,TV-PG,29 Sep 2019,84,Documentary,,,"John Boyega, Miles Brown, Kaley Cuoco, Rachel Lynn David",English,USA,,-1.0,5.4,115,tt10951528,,,,,
The Hidden Kingdoms of China,2020,G,22 Feb 2020,-1,Documentary,Ben Wallis,,Michelle Yeoh,English,United States,,-1.0,6.9,56,tt13975730,,,,,
The Peanuts Movie,2015,G,06 Nov 2015,88,Animation|Adventure|Comedy,Steve Martino,"Craig Schulz, Bryan Schulz, Cornelius Uliano","Noah Schnapp, Bill Melendez, Hadley Belle Miller",English,United States,2 wins & 48 nominations,67.0,7.0,"45,181",tt2452042,,,,,
UFO Europe: The Untold Stories,2012,G,13 Nov 2012,-1,Reality-TV|Sci-Fi,,,"David Clarke, Robert Ashby, Nick Pope",English,,,-1.0,-1.0,18,tt14271936,,,,,
Black Is King,2020,TV-14,31 Jul 2020,85,Adventure|Drama|Fantasy,"Emmanuel Adjei, Ibra Ake, Blitz Bazawule","Beyoncé, Yrsa Daley-Ward, Clover Hope","Beyoncé, Tina Knowles-Lawson, Jay-Z",English,United States,Won 1 Primetime Emmy. 2 wins & 9 nominations total,84.0,5.8,"8,713",tt12607910,,,,,
Cradle of the Gods,2012,G,01 Mar 2012,60,Documentary,Tim Conrad,Tim Conrad,"Tristan Carter, Dave Chapman, Tim Conrad",English,United Kingdom,,-1.0,6.8,115,tt2214921,,,,,
King Fishers,2013,G,27 Apr 2013,-1,Documentary|Reality-TV,,,"Kevin Estrada, Sean McSeveney, Pepper Stebbins",English,United Kingdom,,-1.0,7.0,24,tt3091520,,,,,
Lost Temple of the Inca,2020,G,04 Feb 2020,52,Documentary,Jim Aikman,"Jim Aikman, Dan Sadowsky","Constantino Aucca, Carlos Ausejo, Sarah Baitzel, Alexandra Gambetta","English, Spanish",USA,,-1.0,7.0,63,tt11668444,,,,,
Muppets Now,2020,TV-PG,31 Jul 2020,23,Comedy|Family|Reality-TV,,,"Bill Barretta, Dave Goelz, Eric Jacobson",English,United States,,-1.0,5.9,"1,126",tt10857210,,,,,
Surviving the Mount St. Helens Disaster,2020,G,09 May 2020,44,Documentary|History,Sophie Elwin-Harris,,,English,UK,,-1.0,7.7,43,tt12453440,,,,,
What Sam Sees,2018,G,08 Aug 2018,-1,Adventure,,,"Sam Peltz, Holly Bourbon, Josh Foronda",English,United States,,-1.0,-1.0,-1,tt13326050,,,,,
Rogue Trip,2020,TV-14,24 Jul 2020,40,Documentary|Adventure,,,"Bob Woodruff, Mack Woodruff, Neha Shastry",English,United States,,-1.0,7.0,171,tt10225100,,,,,
Diary of a Wimpy Kid: The Long Haul,2017,PG,19 May 2017,91,Adventure|Comedy|Family,David Bowers,"Jeff Kinney, David Bowers","Jason Drucker, Alicia Silverstone, Tom Everett Scott","English, Spanish",United States,1 nomination,39.0,4.3,"8,812",tt6003368,170789.0,Diary of a Wimpy Kid: The Long Haul (2017),Children|Comedy,Diary of a Wimpy Kid: The Long Haul,2017.0
The Lost City of Machu Picchu,2019,TV-14,,44,Documentary|History,,"John B. Bredar, Owen Palmquist","Valerie Andrushko, Fernando Astete, Stella Nair, Johan Reinhard","English, Spanish",USA,,-1.0,7.0,21,tt12768204,,,,,
Super Robot Monkey Team Hyperforce Go!,2004,TV-Y7-FV,18 Sep 2004,30,Animation|Action|Adventure,,Ciro Nieli,"Greg Cipes, Kevin Michael Richardson, Tom Kenny",English,"United States, Japan",2 nominations,-1.0,6.2,"2,203",tt0423746,,,,,
The Mouseketeers at Walt Disney World,1977,G,20 Nov 1977,-1,Family,John Tracy,"Tom Adair, Tedd Anasti, David Talisman","Billy 'Pop' Atmore, Scott Craig, Nita DiGiampaolo, Mindy Feldman",English,USA,,-1.0,8.4,34,tt0285749,,,,,
Wild Chile,2017,G,01 Sep 2017,-1,Documentary,,,"René Araneda, Susannah Buchan",Spanish,Chile,,-1.0,-1.0,5,tt12013768,,,,,
X-Men: Apocalypse,2016,PG-13,27 May 2016,144,Action|Adventure|Sci-Fi,Bryan Singer,"Simon Kinberg, Bryan Singer, Michael Dougherty","James McAvoy, Michael Fassbender, Jennifer Lawrence","English, Polish, German, Arabic, Egyptian (Ancient)",United States,1 win & 19 nominations,52.0,6.9,"421,216",tt3385516,122924.0,X-Men: Apocalypse (2016),Action|Adventure|Fantasy|Sci-Fi,X-Men: Apocalypse,2016.0
Hamilton: History Has Its Eyes on You,2020,G,03 Jul 2020,46,Documentary|Talk-Show,,,,English,United States,,-1.0,6.4,62,tt12690910,,,,,
X-Men: Days of Future Past,2014,PG-13,23 May 2014,132,Action|Adventure|Sci-Fi,Bryan Singer,"Simon Kinberg, Jane Goldman, Matthew Vaughn","Patrick Stewart, Ian McKellen, Hugh Jackman","English, Vietnamese, French","United States, United Kingdom",Nominated for 1 Oscar. 16 wins & 48 nominations total,75.0,8.0,"693,364",tt1877832,111362.0,X-Men: Days of Future Past (2014),Action|Adventure|Sci-Fi,X-Men: Days of Future Past,2014.0
The Undefeated Presents Hamilton In-Depth,2020,G,03 Jul 2020,33,Documentary|Short,,,,English,United States,,-1.0,6.5,46,tt12690904,,,,,
Animal ER,2016,G,10 Sep 2016,-1,Reality-TV,,,Brian Beale,English,United States,,-1.0,7.9,70,tt6208226,,,,,
Diary of a Wimpy Kid: Rodrick Rules,2011,PG,25 Mar 2011,99,Comedy|Family,David Bowers,"Gabe Sachs, Jeff Judah, Jeff Kinney","Zachary Gordon, Devon Bostick, Robert Capron",English,United States,2 wins & 5 nominations,51.0,6.6,"30,172",tt1650043,86014.0,Diary of a Wimpy Kid: Rodrick Rules (2011),Comedy,Diary of a Wimpy Kid: Rodrick Rules,2011.0
Hamilton,2020,PG-13,03 Jul 2020,160,Biography|Drama|History,Thomas Kail,"Lin-Manuel Miranda, Ron Chernow","Lin-Manuel Miranda, Phillipa Soo, Leslie Odom Jr.",English,United States,Won 1 Primetime Emmy. 18 wins & 46 nominations total,90.0,8.4,"84,926",tt8503618,,,,,
Into the Unknown: Making Frozen 2,2020,TV-G,26 Jun 2020,43,Documentary|Family,,,"Jennifer Lee, Chris Buck, Robert Lopez",English,United States,,-1.0,8.5,801,tt10196382,,,,,
Egypt's Treasure Guardians,2016,G,28 Dec 2016,-1,History,"Ben Allen, Tom Jenner",,"Dominic Frisby, Medhat Abdallah, Eddy Cannaerts, Howard Carter",English,UK,,-1.0,6.2,40,tt7264462,,,,,
The Pirate Fairy,2014,G,13 Feb 2014,78,Animation|Adventure|Family|Fantasy,Peggy Holmes,"Jeffrey M. Howard (screenplay by), Kate Kondell (screenplay by), John Lasseter (story by), Peggy Holmes (story by), Roberts Gannaway (story by), Jeffrey M. Howard (story by), Lorna Cook (story by), Craig Gerber (story by), Roberts Gannaway (additional dialogue by), Peggy Holmes (additional dialogue by)","Mae Whitman, Christina Hendricks, Tom Hiddleston, Lucy Liu",English,USA,5 nominations.,51.0,6.6,"12,366",tt2483260,132632.0,The Pirate Fairy (2014),Animation|Children|Fantasy,The Pirate Fairy,2014.0
Trail Mix-Up,1993,G,12 Mar 1993,8,Animation|Short|Comedy,Barry Cook,"Gary K. Wolf, Rob Minkoff, Barry Cook","Charles Fleischer, Kathleen Turner, April Winchell",English,United States,,-1.0,7.3,970,tt0108377,185041.0,Trail Mix-Up (1993),Animation|Comedy,Trail Mix-Up,1993.0
Tummy Trouble,1989,G,23 Jun 1989,8,Animation|Short|Adventure,"Frank Marshall, Rob Minkoff","Kevin Harkey, Bill Kopp, Rob Minkoff","Charles Fleischer, April Winchell, Lou Hirsch",English,United States,,-1.0,7.3,"1,599",tt0100821,185035.0,Tummy Trouble (1989),Animation|Comedy,Tummy Trouble,1989.0
Artemis Fowl,2020,PG,12 Jun 2020,95,Adventure|Family|Fantasy,Kenneth Branagh,"Eoin Colfer, Hamish McColl, Conor McPherson","Ferdia Shaw, Lara McDonnell, Josh Gad","English, Italian",United States,2 nominations,31.0,4.2,"27,197",tt3089630,,,,,
Mighty Med,2013,TV-Y7,07 Oct 2013,30,Comedy|Family|Sci-Fi,,"Jim Bernstein, Andy Schwartz","Bradley Steven Perry, Jake Short, Paris Berelc",English,United States,1 nomination,-1.0,6.7,"1,960",tt2573338,,,,,
Alaska's Grizzly Gauntlet,2018,G,08 Mar 2018,60,Documentary,,,,English,United States,,-1.0,6.3,46,tt8415880,,,,,
America's Greatest Animals,2012,G,27 May 2012,96,Documentary,,"Tria Thalman, David Hamlin","Casey Anderson, Brady Barr, Andy Brandy Casagrande, Mireya Mayor",English,USA,,-1.0,5.9,22,tt6293566,,,,,
Percy Jackson & the Olympians: The Lightning Thief,2010,PG,12 Feb 2010,118,Adventure|Family|Fantasy,Chris Columbus,"Craig Titley, Rick Riordan","Logan Lerman, Kevin McKidd, Steve Coogan","English, Greek, Ancient (to 1453)","United Kingdom, Canada, United States",11 nominations,47.0,5.9,"185,676",tt0814255,74530.0,Percy Jackson & the Olympians: The Lightning Thief (2010),Adventure|Fantasy,Percy Jackson & the Olympians: The Lightning Thief,2010.0
Secrets of Wild India,2012,G,01 Apr 2012,48,Documentary,,,David Attenborough,English,United Kingdom,,-1.0,8.0,156,tt2718652,,,,,
The Greeks,2016,G,21 Jun 2016,-1,Documentary|History,,,"Michael Cosmopoulos, Edith Hall, Bettany Hughes",English,United States,,-1.0,7.7,215,tt5848928,,,,,
Wild Hawaii,2014,G,20 Apr 2014,45,Documentary,Kevin Bachar,"Kevin Bachar, Jonathan Grupper",J.K. Simmons,English,United States,1 nomination,-1.0,7.3,120,tt4380034,,,,,
Mickey and the Seal,1948,Approved,03 Dec 1948,7,Animation|Short|Comedy,Charles A. Nichols,"Nick George, Milt Schaffer, Bill Berg","Pinto Colvig, James MacDonald",English,United States,Nominated for 1 Oscar. 1 nomination total,-1.0,6.9,"1,081",tt0040588,182133.0,Mickey and the Seal (1948),Animation|Children|Comedy,Mickey and the Seal,1948.0
The Moon-Spinners,1964,G,08 Jul 1964,118,Adventure|Family|Mystery,James Neilson,"Michael Dyne, Mary Stewart","Hayley Mills, Eli Wallach, Pola Negri","English, Greek, Spanish",United States,,-1.0,6.7,"2,593",tt0058371,,,,,
"Hello, Dolly!",1969,G,16 Dec 1969,146,Adventure|Comedy|Musical,Gene Kelly,"Michael Stewart, Thornton Wilder, Ernest Lehman","Barbra Streisand, Walter Matthau, Michael Crawford",English,United States,Won 3 Oscars. 4 wins & 13 nominations total,51.0,7.1,"14,989",tt0064418,6732.0,"Hello, Dolly! (1969)",Comedy|Musical|Romance,"Hello, Dolly!",1969.0
Out,2020,PG,15 Sep 2020,9,Animation|Short|Comedy,Steven Clay Hunter,Steven Clay Hunter,"Bernadette Sullivan, Kyle McDaniel, Caleb Cabrera",English,United States,1 win,-1.0,7.5,"2,944",tt12366826,,,,,
Buried Secrets of the Bible with Albert Lin,2019,G,11 Mar 2019,-1,Documentary|History,,,"Albert Yu-Min Lin, Evi Nomikou, Catreena Hamarneh",,,,-1.0,6.9,183,tt12204636,,,,,
George of the Jungle,1997,PG,16 Jul 1997,92,Action|Adventure|Comedy,Sam Weisman,"Jay Ward, Dana Olsen, Audrey Wells","Brendan Fraser, Leslie Mann, Thomas Haden Church","English, Spanish",United States,1 win & 3 nominations,53.0,5.5,"76,360",tt0119190,1588.0,George of the Jungle (1997),Children|Comedy,George of the Jungle,1997.0
How to Play Baseball,1942,Approved,04 Sep 1942,8,Animation|Short|Comedy,Jack Kinney,"Dick Kinney, Sylvia Moberly-Holland",Fred Shields,English,United States,,-1.0,7.2,"1,066",tt0034874,,,,,
Nature's Half Acre,1951,Passed,28 Jul 1951,33,Documentary|Short|Family,James Algar,"Winston Hibler, Ted Sears, James Algar","Winston Hibler, Mogens Lind",English,United States,Won 1 Oscar. 1 win & 1 nomination total,-1.0,7.1,200,tt0043839,,,,,
Prairie Dog Manor,2019,G,18 Oct 2019,-1,Reality-TV,,,"Kevin Conway, Kai, Gnash the Prairie Dog",English,United States,,-1.0,8.0,48,tt8316986,,,,,
Prowlers of the Everglades,1953,Approved,23 Jul 1953,32,Documentary|Short|Family,James Algar,James Algar,Winston Hibler,English,United States,,-1.0,7.6,90,tt0280050,,,,,
The Princess Bride,1987,PG,09 Oct 1987,98,Adventure|Family|Fantasy,Rob Reiner,William Goldman,"Cary Elwes, Mandy Patinkin, Robin Wright",English,United States,Nominated for 1 Oscar. 7 wins & 10 nominations total,77.0,8.0,"418,715",tt0093779,,,,,
Unlikely Animal Friends,2012,G,13 Jan 2012,-1,Documentary,,,Mark Keller,English,United States,,-1.0,7.5,101,tt2181679,,,,,
Water Birds,1952,Approved,26 Jun 1952,30,Documentary|Short|Family,Ben Sharpsteen,"Winston Hibler, Ted Sears, William Otis",Winston Hibler,English,United States,Won 1 Oscar. 1 win & 1 nomination total,-1.0,6.7,235,tt0045314,,,,,
Born Wild: The Next Generation,2020,G,23 Apr 2020,-1,Documentary,,,Robin Roberts,English,USA,,-1.0,7.8,17,tt12194646,,,,,
America's Funniest Home Videos,1989,TV-PG,26 Nov 1989,30,Comedy|Family|Reality-TV,,,"Jess Harnell, Tom Bergeron, Bob Saget",English,United States,4 wins & 8 nominations,-1.0,6.2,"5,314",tt0098740,,,,,
The Olympic Elk,1952,Approved,13 Feb 1952,27,Documentary|Short,James Algar,"Winston Hibler, Ted Sears, James Algar",Winston Hibler,English,United States,,-1.0,7.1,86,tt0219222,,,,,
Jane Goodall: The Hope,2020,G,22 Apr 2020,88,Documentary,"Elizabeth Leiter, Kim Woodard",,Jane Goodall,English,United States,3 nominations,-1.0,8.0,159,tt12137534,,,,,
Brain Games,2011,TV-G,09 Oct 2011,60,Documentary|Comedy|Drama,,"Jerry Kolber, Bill Margol","Jason Silva, Bert Thomas Morris, Apollo Robbins",English,United States,Nominated for 1 Primetime Emmy. 3 nominations total,-1.0,8.2,"3,239",tt2078690,,,,,
